TXNAME	GENEID	.bam
BambuTx1	SIRV5	2
BambuTx2	SIRV5	2
BambuTx3	SIRV5	2
BambuTx4	SIRV5	2
BambuTx5	SIRV5	1.10482
BambuTx6	SIRV5	4
BambuTx7	SIRV5	2
BambuTx8	SIRV5	2
BambuTx9	SIRV5	2
BambuTx10	SIRV5	2
BambuTx11	SIRV5	2
BambuTx12	SIRV5	2
BambuTx13	SIRV5	2
BambuTx14	SIRV5	2
BambuTx15	SIRV5	2
BambuTx16	SIRV5	2
BambuTx17	SIRV5	1.09722
BambuTx18	SIRV5	2
BambuTx19	SIRV5	2
BambuTx20	SIRV5	2
BambuTx21	SIRV5	2
BambuTx22	SIRV5	2
BambuTx23	SIRV5	2
BambuTx24	SIRV5	2
BambuTx25	SIRV5	2
BambuTx26	SIRV5	2
BambuTx27	SIRV5	2
BambuTx28	SIRV5	1.10482
BambuTx29	SIRV5	2
BambuTx30	SIRV5	1.09722
BambuTx31	SIRV5	0.00002
SIRV501	SIRV5	124
SIRV502	SIRV5	120
SIRV503	SIRV5	0
SIRV504	SIRV5	0
SIRV505	SIRV5	90
SIRV506	SIRV5	0
SIRV507	SIRV5	0
SIRV508	SIRV5	81
SIRV509	SIRV5	0
SIRV510	SIRV5	0
SIRV511	SIRV5	0
SIRV512	SIRV5	0
